Date,Quantity,Discount,Salesperson,TotalPrice,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager,Region_Central,Region_East,Region_North,Region_South,Region_West,Product_Chair,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,StoreLocation_Store A,StoreLocation_Store B,StoreLocation_Store C,StoreLocation_Store D,CustomerType_Wholesale,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,DeliveryTime,Avg_Price_Per_Item
2024-04-10,15,0.15,Eva,6671.947499999999,SAVE10,0,REG100010,Cust 1462,12.14,2024-04-10,2024-04-17,Ryan,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,7,444.7965
2024-07-12,19,0.1,Eva,3545.685,SAVE10,1,REG100011,Cust 4330,44.89,2024-07-12,2024-07-18,Eric,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6,186.615
2023-07-21,1,0.05,Diana,114.5035,WINTER15,0,REG100012,Cust 2372,20.35,2023-07-21,2023-07-31,Cameron,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,10,114.5035
2025-01-18,1,0.15,Carlos,134.1555,SAVE10,0,REG100013,Cust 4672,42.82,2025-01-18,2025-01-22,Wendy,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,4,134.1555
2024-12-08,15,0.15,Diana,2808.825,SAVE10,0,REG100014,Cust 4548,39.66,2024-12-08,2024-12-15,Ryan,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,187.255
2025-05-11,17,0.05,Eva,2631.804,FREESHIP,0,REG100015,Cust 7037,8.11,2025-05-11,2025-05-17,Wendy,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,6,154.812
2023-02-26,19,0.0,Bob,4486.09,WINTER15,0,REG100016,Cust 4975,34.11,2023-02-26,2023-03-04,Wendy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,236.11
2024-05-28,11,0.05,Diana,5989.313,SAVE10,0,REG100017,Cust 8014,34.71,2024-05-28,2024-06-01,Cameron,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,544.4830000000001
2023-11-30,20,0.15,Carlos,8823.679999999998,FREESHIP,0,REG100018,Cust 1228,19.43,2023-11-30,2023-12-08,Eric,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,8,441.1839999999999
2023-06-22,14,0.0,Carlos,431.62,WINTER15,1,REG100019,Cust 4247,7.1,2023-06-22,2023-07-02,Wendy,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,30.830000000000002
2025-06-05,10,0.0,Diana,3190.5,SAVE10,0,REG100020,Cust 4199,28.43,2025-06-05,2025-06-08,Wendy,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,3,319.05
2023-03-03,14,0.05,Bob,4160.107,SAVE10,1,REG100021,Cust 4186,46.83,2023-03-03,2023-03-08,Cameron,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,297.1505
2024-02-18,14,0.0,Carlos,5536.3,FREESHIP,1,REG100022,Cust 8137,36.45,2024-02-18,2024-02-22,Ryan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,395.45
2023-08-06,12,0.15,Diana,4821.744000000001,SAVE10,0,REG100023,Cust 4638,27.97,2023-08-06,2023-08-14,Cameron,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,401.81200000000007
2024-05-23,5,0.0,Eva,1440.05,FREESHIP,0,REG100024,Cust 8538,46.69,2024-05-23,2024-05-30,Ryan,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,7,288.01
2023-10-23,13,0.0,Diana,7309.77,SAVE10,0,REG100025,Cust 6322,38.13,2023-10-23,2023-10-28,Eric,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5,562.2900000000001
2025-06-16,1,0.0,Frank,101.73,WINTER15,0,REG100026,Cust 2609,11.59,2025-06-16,2025-06-25,Wendy,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,9,101.73
2023-03-03,4,0.0,Diana,1117.96,FREESHIP,0,REG100027,Cust 6880,24.78,2023-03-03,2023-03-08,Ryan,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5,279.49
2024-11-18,1,0.15,Carlos,151.7675,SAVE10,1,REG100028,Cust 1997,7.61,2024-11-18,2024-11-21,Sophie,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,151.7675
2023-05-09,1,0.1,Carlos,424.863,FREESHIP,0,REG100029,Cust 7072,33.17,2023-05-09,2023-05-17,Cameron,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,8,424.863
2024-12-07,12,0.0,Frank,3675.48,SAVE10,0,REG100030,Cust 7201,37.38,2024-12-07,2024-12-14,Ryan,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,7,306.29
2024-02-13,7,0.15,Frank,2586.8815,SAVE10,0,REG100031,Cust 9923,12.35,2024-02-13,2024-02-15,Ryan,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,369.5545
2025-03-09,6,0.0,Carlos,389.88,WINTER15,0,REG100032,Cust 2205,21.25,2025-03-09,2025-03-15,Sophie,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,64.98
2023-04-05,17,0.0,Alice,8100.33,SAVE10,0,REG100033,Cust 6403,17.91,2023-04-05,2023-04-11,Cameron,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,476.49
2025-05-08,4,0.15,Diana,1903.048,SAVE10,0,REG100034,Cust 3953,41.91,2025-05-08,2025-05-12,Ryan,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,475.762
2023-09-03,14,0.0,Alice,1149.96,FREESHIP,0,REG100035,Cust 7902,12.57,2023-09-03,2023-09-11,Ryan,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,8,82.14
2025-03-21,9,0.05,Carlos,2934.4455,FREESHIP,0,REG100036,Cust 9968,40.29,2025-03-21,2025-03-28,Cameron,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,326.04949999999997
2025-06-20,7,0.15,Diana,1791.0095,SAVE10,1,REG100037,Cust 3787,34.97,2025-06-20,2025-06-30,Sophie,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,255.8585
2024-02-15,14,0.1,Bob,5394.438,FREESHIP,1,REG100038,Cust 2469,24.77,2024-02-15,2024-02-25,Cameron,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,10,385.317
2023-06-09,2,0.15,Alice,855.5759999999999,SAVE10,0,REG100039,Cust 6468,34.79,2023-06-09,2023-06-17,Cameron,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,427.78799999999995
2023-08-10,5,0.1,Eva,2116.44,SAVE10,0,REG100040,Cust 5312,17.77,2023-08-10,2023-08-14,Sophie,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,423.288
2024-06-16,20,0.05,Eva,1238.23,FREESHIP,0,REG100041,Cust 1482,21.72,2024-06-16,2024-06-25,Cameron,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,9,61.911500000000004
2023-07-23,12,0.0,Eva,434.04,WINTER15,0,REG100042,Cust 7903,34.85,2023-07-23,2023-07-26,Sophie,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,36.17
2023-05-20,4,0.15,Carlos,1561.654,WINTER15,1,REG100043,Cust 9605,27.39,2023-05-20,2023-05-27,Cameron,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,7,390.4135
2023-06-30,2,0.05,Eva,790.514,SAVE10,0,REG100044,Cust 3298,11.62,2023-06-30,2023-07-04,Sophie,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,395.257
2024-06-04,16,0.0,Alice,4841.28,WINTER15,1,REG100045,Cust 5533,20.76,2024-06-04,2024-06-14,Sophie,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,10,302.58
2025-02-03,11,0.15,Frank,309.7655,FREESHIP,0,REG100046,Cust 6362,24.95,2025-02-03,2025-02-05,Wendy,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,28.1605
2024-01-09,8,0.15,Frank,3961.136,WINTER15,0,REG100047,Cust 4826,6.47,2024-01-09,2024-01-13,Eric,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4,495.142
2024-03-14,5,0.1,Eva,743.1750000000001,SAVE10,0,REG100048,Cust 2171,20.57,2024-03-14,2024-03-16,Ryan,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,148.63500000000002
2024-09-06,14,0.15,Alice,2889.558,WINTER15,1,REG100049,Cust 4005,20.71,2024-09-06,2024-09-13,Wendy,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,7,206.397
2023-03-17,13,0.1,Frank,772.083,WINTER15,0,REG100050,Cust 7032,12.87,2023-03-17,2023-03-20,Eric,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3,59.391
2025-01-17,2,0.0,Alice,503.38,FREESHIP,0,REG100051,Cust 7167,42.49,2025-01-17,2025-01-24,Wendy,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7,251.69
2024-09-12,1,0.1,Eva,242.469,WINTER15,1,REG100052,Cust 5702,19.22,2024-09-12,2024-09-18,Sophie,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,6,242.469
2024-01-05,2,0.05,Bob,705.47,SAVE10,0,REG100053,Cust 4944,36.51,2024-01-05,2024-01-15,Sophie,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,10,352.735
2024-04-19,11,0.15,Diana,2695.044,WINTER15,0,REG100054,Cust 8149,37.39,2024-04-19,2024-04-25,Wendy,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,6,245.004
2025-06-11,11,0.05,Eva,2432.2375,SAVE10,0,REG100055,Cust 3638,36.33,2025-06-11,2025-06-21,Cameron,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,10,221.1125
2025-03-06,17,0.15,Carlos,2113.746,SAVE10,0,REG100056,Cust 9973,7.84,2025-03-06,2025-03-15,Eric,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,9,124.33800000000001
2023-05-24,5,0.1,Eva,451.71,WINTER15,1,REG100057,Cust 4214,18.35,2023-05-24,2023-05-26,Eric,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,90.342
2023-01-27,11,0.05,Bob,3923.766000000001,WINTER15,0,REG100058,Cust 2647,15.95,2023-01-27,2023-02-03,Sophie,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,7,356.7060000000001
2024-03-21,18,0.05,Bob,5418.819,FREESHIP,0,REG100059,Cust 3552,15.69,2024-03-21,2024-03-27,Sophie,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,6,301.0455
2025-01-25,20,0.15,Frank,5016.02,SAVE10,1,REG100060,Cust 3354,13.66,2025-01-25,2025-01-31,Wendy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,250.80100000000002
2023-06-12,8,0.0,Eva,2413.44,SAVE10,0,REG100061,Cust 3903,36.54,2023-06-12,2023-06-21,Cameron,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,9,301.68
2025-03-22,3,0.1,Alice,1283.553,FREESHIP,0,REG100062,Cust 5358,15.62,2025-03-22,2025-03-26,Cameron,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,427.85100000000006
2024-02-24,16,0.15,Bob,642.6,FREESHIP,0,REG100063,Cust 8144,29.5,2024-02-24,2024-02-27,Cameron,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,40.1625
2023-12-09,15,0.0,Frank,7667.55,FREESHIP,0,REG100064,Cust 6747,21.77,2023-12-09,2023-12-12,Sophie,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,511.17
2023-10-01,3,0.1,Frank,179.766,FREESHIP,0,REG100065,Cust 8330,22.43,2023-10-01,2023-10-05,Cameron,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,59.922
2023-07-31,5,0.05,Frank,2329.97,SAVE10,0,REG100066,Cust 7186,12.24,2023-07-31,2023-08-07,Wendy,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,7,465.99399999999997
2024-12-24,8,0.05,Carlos,3085.296,WINTER15,0,REG100067,Cust 8287,41.27,2024-12-24,2024-12-31,Sophie,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,7,385.662
2024-11-15,1,0.1,Bob,143.469,FREESHIP,0,REG100068,Cust 3986,35.14,2024-11-15,2024-11-19,Ryan,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,4,143.469
2025-03-13,16,0.15,Carlos,523.464,SAVE10,0,REG100069,Cust 3213,8.38,2025-03-13,2025-03-22,Wendy,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9,32.7165
2024-03-03,15,0.15,Alice,4186.59,WINTER15,0,REG100070,Cust 1907,15.76,2024-03-03,2024-03-12,Eric,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,9,279.106
2023-02-11,20,0.1,Eva,9736.104374999999,WINTER15,1,REG100071,Cust 4639,5.89,2023-02-11,2023-02-14,Cameron,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,3,486.80521874999994
2023-10-26,13,0.05,Carlos,5982.9575,WINTER15,1,REG100072,Cust 4153,6.57,2023-10-26,2023-11-05,Sophie,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,10,460.2275
2023-10-21,13,0.05,Alice,2418.624,SAVE10,0,REG100073,Cust 7096,33.52,2023-10-21,2023-10-28,Sophie,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,7,186.04799999999997
2024-01-14,19,0.15,Diana,483.531,FREESHIP,0,REG100074,Cust 3806,33.59,2024-01-14,2024-01-20,Cameron,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,25.449
2023-07-27,10,0.1,Eva,4985.19,SAVE10,0,REG100075,Cust 9345,31.3,2023-07-27,2023-07-31,Cameron,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,498.51899999999995
2024-10-23,14,0.1,Bob,5613.552,SAVE10,0,REG100076,Cust 4456,14.41,2024-10-23,2024-10-25,Sophie,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,400.96799999999996
2023-09-26,5,0.15,Alice,2344.215,WINTER15,1,REG100077,Cust 1089,7.87,2023-09-26,2023-10-01,Sophie,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,468.843
2023-12-16,13,0.0,Carlos,3138.2,SAVE10,0,REG100078,Cust 7230,49.05,2023-12-16,2023-12-20,Eric,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4,241.39999999999998
2024-01-02,19,0.0,Alice,6686.67,SAVE10,0,REG100079,Cust 6597,39.98,2024-01-02,2024-01-05,Cameron,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,3,351.93
2024-02-16,4,0.05,Alice,318.25,SAVE10,1,REG100080,Cust 4108,38.82,2024-02-16,2024-02-25,Ryan,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,9,79.5625
2024-05-03,5,0.15,Frank,1772.0375,SAVE10,1,REG100081,Cust 2883,24.03,2024-05-03,2024-05-12,Eric,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,9,354.40749999999997
2023-05-27,18,0.05,Bob,2435.553,SAVE10,1,REG100082,Cust 5018,12.38,2023-05-27,2023-06-02,Wendy,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,6,135.30849999999998
2023-01-05,12,0.0,Bob,6990.24,FREESHIP,0,REG100083,Cust 1231,41.16,2023-01-05,2023-01-11,Eric,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,582.52
2025-05-21,20,0.15,Diana,2202.52,WINTER15,0,REG100084,Cust 2209,40.21,2025-05-21,2025-05-23,Eric,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,110.126
2023-07-21,17,0.0,Eva,7340.94,FREESHIP,1,REG100085,Cust 6684,37.75,2023-07-21,2023-07-25,Cameron,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,4,431.82
2025-05-25,15,0.0,Bob,237.75,WINTER15,0,REG100086,Cust 5289,23.49,2025-05-25,2025-06-03,Eric,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9,15.85
2024-11-16,20,0.1,Bob,9736.104374999999,WINTER15,0,REG100087,Cust 9159,33.47,2024-11-16,2024-11-22,Sophie,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,6,486.80521874999994
2023-11-19,16,0.05,Frank,7992.616,SAVE10,0,REG100088,Cust 4844,36.47,2023-11-19,2023-11-25,Ryan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,499.5385
2025-01-12,15,0.05,Bob,5862.165,SAVE10,0,REG100089,Cust 3273,48.51,2025-01-12,2025-01-21,Cameron,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,9,390.811
2023-03-29,19,0.1,Carlos,9575.145,WINTER15,0,REG100090,Cust 8160,18.3,2023-03-29,2023-04-03,Ryan,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,5,503.95500000000004
2025-03-01,8,0.05,Carlos,1367.24,SAVE10,0,REG100091,Cust 4439,14.8,2025-03-01,2025-03-05,Ryan,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,170.905
2023-10-18,12,0.15,Diana,5040.329999999999,SAVE10,1,REG100092,Cust 1127,18.05,2023-10-18,2023-10-20,Ryan,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,420.0274999999999
2025-04-13,10,0.0,Bob,4629.9,WINTER15,0,REG100093,Cust 4696,5.01,2025-04-13,2025-04-15,Eric,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,462.98999999999995
2025-05-13,7,0.05,Alice,3060.596,SAVE10,1,REG100094,Cust 3014,11.54,2025-05-13,2025-05-23,Cameron,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,437.228
2024-04-21,17,0.05,Eva,4998.748,FREESHIP,0,REG100095,Cust 2539,6.11,2024-04-21,2024-04-27,Wendy,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,6,294.044
2025-01-31,1,0.05,Eva,307.6385,WINTER15,0,REG100096,Cust 3916,27.48,2025-01-31,2025-02-08,Cameron,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,8,307.6385
2025-03-14,10,0.0,Bob,5030.7,FREESHIP,0,REG100097,Cust 6329,44.61,2025-03-14,2025-03-19,Cameron,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,503.07
2024-05-26,20,0.15,Alice,8358.56,SAVE10,1,REG100098,Cust 4384,43.46,2024-05-26,2024-05-29,Wendy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,417.928
2023-07-22,17,0.05,Carlos,7565.4675,FREESHIP,0,REG100099,Cust 7756,17.88,2023-07-22,2023-07-26,Ryan,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,445.0275
2024-03-21,11,0.15,Frank,3756.456,SAVE10,0,REG100100,Cust 6086,48.03,2024-03-21,2024-03-30,Ryan,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,341.49600000000004
2023-04-05,3,0.0,Frank,663.0,FREESHIP,0,REG100101,Cust 3845,32.31,2023-04-05,2023-04-08,Wendy,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,3,221.0
2024-08-26,6,0.05,Alice,1074.165,SAVE10,0,REG100102,Cust 9996,6.77,2024-08-26,2024-09-01,Eric,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,6,179.0275
2024-07-07,3,0.0,Bob,1698.6,FREESHIP,1,REG100103,Cust 1711,28.97,2024-07-07,2024-07-17,Ryan,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,566.1999999999999
2023-09-29,14,0.05,Alice,2222.297,SAVE10,1,REG100104,Cust 4522,47.05,2023-09-29,2023-10-08,Eric,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9,158.7355
2023-10-04,16,0.1,Carlos,520.704,FREESHIP,0,REG100105,Cust 4233,26.64,2023-10-04,2023-10-11,Wendy,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,7,32.544
2025-06-09,2,0.05,Carlos,140.486,SAVE10,0,REG100106,Cust 4121,28.05,2025-06-09,2025-06-16,Cameron,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,7,70.243
2025-06-12,16,0.1,Eva,6616.656,SAVE10,0,REG100107,Cust 9092,26.99,2025-06-12,2025-06-14,Eric,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2,413.541
2024-06-29,3,0.0,Carlos,504.15,FREESHIP,1,REG100108,Cust 9090,21.08,2024-06-29,2024-07-06,Eric,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,168.04999999999998
2024-03-23,14,0.15,Alice,446.7259999999999,SAVE10,1,REG100109,Cust 1983,49.6,2024-03-23,2024-04-02,Ryan,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,10,31.908999999999992
2024-07-14,4,0.0,Alice,604.64,SAVE10,1,REG100110,Cust 8834,41.4,2024-07-14,2024-07-21,Sophie,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,7,151.16
2024-03-15,17,0.1,Bob,1202.274,WINTER15,0,REG100111,Cust 9780,8.02,2024-03-15,2024-03-25,Sophie,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,10,70.722
2025-04-19,15,0.05,Carlos,531.9524999999999,SAVE10,1,REG100112,Cust 1293,43.69,2025-04-19,2025-04-24,Cameron,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,35.46349999999999
2024-02-15,18,0.15,Carlos,8216.406,SAVE10,0,REG100113,Cust 3173,23.94,2024-02-15,2024-02-20,Wendy,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,5,456.46700000000004
